Entité financire programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65738;Subventions de fonctionnement aux autres organismes publics;64;Crches et garderies;65;Autres ch d'activité;402350;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64112;NBI, supplément famillial de traitement et indemnité de résidence;814;Eclairage public;012;Ch.de pers., frais ass.;20670;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6745;Subventions de fonctionnement exceptionnelles aux personnes de droit privé;524;Autres services;67;Ch. execpt.;1800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;421;Centres de loisirs;21;Immob. corporelles;750000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;423;Colonies de vacances;21;Immob. corporelles;110000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60622;Carburants;415;Manifestations sportives;011;Ch.  caract. gén.;100;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;114;Autres services de protection civile;012;Ch.de pers., frais ass.;145315;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6065;Livres, disques, cassettes (bibliothques, médiatques);522;Actions en faveur de l'enfance et de l'adolescence;011;Ch.  caract. gén.;600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;412;Stades;011;Ch.  caract. gén.;7484;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;61551;Entretien et réparations dumatériel roulant;423;Colonies de vacances;011;Ch.  caract. gén.;1700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;523;Actions en faveur des personnes en difficulté;012;Ch.de pers., frais ass.;54432;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;020;Administration générale de la collectivité;65;Autres ch d'activité;3370;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;213;Classes regroupées;012;Ch.de pers., frais ass.;1318584;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;30;Services communs;012;Ch.de pers., frais ass.;20287;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;321;Bibliothques et médiathques;012;Ch.de pers., frais ass.;1652127;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;95;Aides au tourisme;011;Ch.  caract. gén.;450;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60612;Energie - Electricité;814;Eclairage public;011;Ch.  caract. gén.;4300000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;70388;Autres redevances et recettes diverses;112;Police municipale;70;Prod. des services;1200000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;026;Cimetires et pompes funbres;011;Ch.  caract. gén.;50;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;33;Action culturelle;204;;165750;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;678;Autres charges exceptionnelles;022;Administration générale de l'Etat;67;Ch. execpt.;280;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;823;Espaces verts urbains;011;Ch.  caract. gén.;45000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;321;Bibliothques et médiathques;011;Ch.  caract. gén.;50;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;75;Autres produits de gestion courante;752;Revenus des immeubles;422;Autres activités pour les jeunes;75;Autres prod. d'activité;25707;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;313;Théâtres;011;Ch.  caract. gén.;10000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;33;Action culturelle;74;Dotations, subv.;188000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6281;Concours divers (cotisations..);023;Information, communication, publicité;011;Ch.  caract. gén.;360;0
Budget principal VT;Recette;Réel;Investissement;M14V;16;Emprunts et dettes assimilées;166;Refinancement de la dette;01;Opération non ventilable;16;Empr. et dettes ass.;0;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;823;Espaces verts urbains;21;Immob. corporelles;424000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;30;Services communs;012;Ch.de pers., frais ass.;274914;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6453;Cotisations aux caisses de retraites;312;Arts plastiques et autres activités artistiques;012;Ch.de pers., frais ass.;10168;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;831;Aménagement des eaux;012;Ch.de pers., frais ass.;2047;0
Budget principal VT;Recette;Réel;Investissement;M14V;13;Subventions d'investissement (reçues);1328;Subventions d'équipement non transférables - Autres;824;Autres opérations d'aménagement urbain;13;Subventions;475000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;524;Autres services;21;Immob. corporelles;565;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;617;Etudes et reherches;521;Services  caractre social pour handicapés et inadaptés;011;Ch.  caract. gén.;60000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20421;Subventions d'équipement versées aux personnes de droit privé - Biens mobiliers, matériel et études;524;Autres services;204;;30000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;021;Assemblée locale;012;Ch.de pers., frais ass.;271310;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;212;Ecoles primaires;012;Ch.de pers., frais ass.;11061692;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;40;Services communs;012;Ch.de pers., frais ass.;12785427;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;70;Services communs;012;Ch.de pers., frais ass.;355798;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64111;Personnel titulaire - Rémunération principale;824;Autres opérations d'aménagement urbain;012;Ch.de pers., frais ass.;3377862;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6354;Droits d'enregistrement et de timbre;020;Administration générale de la collectivité;011;Ch.  caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60632;Fournitures de petit équipement;415;Manifestations sportives;011;Ch.  caract. gén.;23000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6232;Ftes et cérémonies;415;Manifestations sportives;011;Ch.  caract. gén.;295000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7067;Redevances et droits des services périscolaires et d'enseignement;251;Hébergement et restauration scolaire;70;Prod. des services;9500000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;114;Autres services de protection civile;012;Ch.de pers., frais ass.;117222;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;211;Ecoles maternelles;012;Ch.de pers., frais ass.;4109276;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations  l' U.R.S.S.A.F.;30;Services communs;012;Ch.de pers., frais ass.;194941;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281538;Amortissements des autres réseaux;01;Opération non ventilable;040;;332665;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;60628;Autres fournitures non stockées;823;Espaces verts urbains;011;Ch.  caract. gén.;1000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6135;Locations mobilires;823;Espaces verts urbains;011;Ch.  caract. gén.;20900;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6188;Autres frais divers;322;Musées;011;Ch.  caract. gén.;285880;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;611;Contrats de prestations de services;022;Administration générale de l'Etat;011;Ch.  caract. gén.;5100;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;704;Travaux;321;Bibliothques et médiathques;70;Prod. des services;1000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7062;Redevances et droits des services  caractre culturel;313;Théâtres;70;Prod. des services;24000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6238;Divers;33;Action culturelle;011;Ch.  caract. gén.;75000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;627;Services bancaires et assimilés;33;Action culturelle;011;Ch.  caract. gén.;15;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6282;Frais de gardiennage (églises, forts et bois communaux...);33;Action culturelle;011;Ch.  caract. gén.;35000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;322;Musées;77;Prod. exceptionnels;50000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6068;Autres matires et fournitures;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;5000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6257;Réceptions;048;Autres actions de coopération décentralisée;011;Ch.  caract. gén.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;65541;Contributions au fonds de compensation des charges territoriales (établissement public de territoire);831;Aménagement des eaux;65;Autres ch d'activité;299000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;40;Services communs;012;Ch.de pers., frais ass.;69765;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;745;Dotation spéciale au titre des instituteurs;01;Opération non ventilable;74;Dotations, subv.;30000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7088;Autres produits d'activités annexes (abonnements et ventes d'ouvrages...);523;Actions en faveur des personnes en difficulté;70;Prod. des services;8000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges  caractre général;6226;Honoraires;524;Autres services;011;Ch.  caract. gén.;346000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;020;Administration générale de la collectivité;012;Ch.de pers., frais ass.;5343;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6457;Cotisations sociales liées  l'apprentissage;322;Musées;012;Ch.de pers., frais ass.;970;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;61027;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6336;Cotisation au centre national et aux centres de gestion de la fonction publique territoriale;422;Autres activités pour les jeunes;012;Ch.de pers., frais ass.;76304;0
