Entité financière programme;Nature AP/EPCP;Type mouvement;Section;Nomenclature comptable;Code chapitre;Libellé chapitre;Code article;Libellé article;Code présentation croisée;Libellé présentation croisée;Chapitre par nature;Libellé par nature;Mt CP Voté BP;Mt CP ICNE BP
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;423;Colonies de vacances;21;Immob. corporelles;10000;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;2804182;Amortissement des subventions d'équipement versées aux autres organismes publics - Bâtiments et installations (O);01;Opération non ventilable;28;Amort. des immobilisations;369669;0
Théâtre Orchestre du Capitole;Recette;Réel;Fonctionnement;M14;74;Dotations, subventions et participations;74741;Participations - Communes membres du GFP;313;Théâtres;74;Dotations, subv.;20589270;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;6262;Frais de télécommunications;313;Théâtres;011;Ch. à caract. gén.;29500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60623;Alimentation;421;Centres de loisirs;011;Ch. à caract. gén.;40700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;112;Police municipale;012;Ch.de pers., frais ass.;963313;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;213;Classes regroupées;012;Ch.de pers., frais ass.;1455379;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;281571;Amortissements du matériel roulant de voirie;01;Opération non ventilable;28;Amort. des immobilisations;248610;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28181;Amortissements des installations générales, agencements et aménagements divers;01;Opération non ventilable;28;Amort. des immobilisations;101471;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;321;Bibliothèques et médiathèques;011;Ch. à caract. gén.;50;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;617;Etudes et reherches;823;Espaces verts urbains;011;Ch. à caract. gén.;33000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Investissement;M14;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;313;Théâtres;21;Immob. corporelles;137800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2183;Matériel de bureau et matériel informatique;213;Classes regroupées;21;Immob. corporelles;960000;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;6064;Fournitures administratives;313;Théâtres;011;Ch. à caract. gén.;14000;0
Théâtre Orchestre du Capitole;Recette;Ordre;Investissement;M14;040;Opérations d'ordre de transfert entre sections;28051;Amortissement des concessions et droits similaires;01;Opération non ventilable;28;Amort. des immobilisations;11934;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;40;Services communs;011;Ch. à caract. gén.;59700;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;814;Eclairage public;011;Ch. à caract. gén.;10000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;93;Aides à l'énergie, aux industries manufacturières et au bâtiment et travaux publics;011;Ch. à caract. gén.;180000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6554;Contributions aux organismes de regroupement;322;Musées;65;Autres ch d'activité;1955100;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7473;Participations des Départements;311;Expression musicale, lyrique et chorégraphique;74;Dotations, subv.;145000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);40;Services communs;011;Ch. à caract. gén.;1650;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;048;Autres actions de coopération décentralisée;011;Ch. à caract. gén.;110000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;821;Equipements de voirie;011;Ch. à caract. gén.;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;521;Services à caractère social pour handicapés et inadaptés;65;Autres ch d'activité;90000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6261;Frais d'affranchissement;020;Administration générale de la collectivité;011;Ch. à caract. gén.;750000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;21748;Constructions sur sol d'autrui reçues au titre d'une mise à disposition - Autres constructions;510;Services communs;21;Immob. corporelles;100000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;412;Stades;011;Ch. à caract. gén.;12000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64118;Autres indemnités;511;Dispensaires et autrs établissements sanitaires;012;Ch.de pers., frais ass.;58958;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64131;Personnel non titulaire - Rémunérations;211;Ecoles maternelles;012;Ch.de pers., frais ass.;66507;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;77;Produits exceptionnels;7788;Produits exceptionnels divers;321;Bibliothèques et médiathèques;77;Prod. exceptionnels;500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;61522;Entretien et réparations des bâtiments;12;Hygiène et salubrité publique;011;Ch. à caract. gén.;72000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6451;Cotisations à l' U.R.S.S.A.F.;524;Autres services;012;Ch.de pers., frais ass.;214415;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6533;Cotisations de retraite des maires, adjoints et conseillers;021;Assemblée locale;65;Autres ch d'activité;160000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;213;Classes regroupées;011;Ch. à caract. gén.;140000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6135;Locations mobilières;413;Piscines;011;Ch. à caract. gén.;5300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;510;Services communs;012;Ch.de pers., frais ass.;40265;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;64162;Emplois d'avenir;311;Expression musicale, lyrique et chorégraphique;012;Ch.de pers., frais ass.;18941;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6332;Cotisations versées au F.N.A.L.;524;Autres services;012;Ch.de pers., frais ass.;5721;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;67;Charges exceptionnelles;6745;Subventions de fonctionnement exceptionnelles aux personnes de droit privé;524;Autres services;67;Ch. execpt.;7620;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;67;Charges exceptionnelles;673;Titres annulés (sur exercices antérieurs);673;Titres annulés (sur exercices antérieurs);67;;1000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;64;Crèches et garderies;21;Immob. corporelles;253561;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;520;Services communs;011;Ch. à caract. gén.;20000;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7083;Locations diverses (autres qu'immeubles);422;Autres activités pour les jeunes;70;Prod. des services;16500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;020;Administration générale de la collectivité;011;Ch. à caract. gén.;59900;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2188;Autres immobilisations corporelles;020;Administration générale de la collectivité;21;Immob. corporelles;932347;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;617;Etudes et reherches;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;40000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;60632;Fournitures de petit équipement;323;Archives;011;Ch. à caract. gén.;14970;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6226;Honoraires;820;Services communs;011;Ch. à caract. gén.;80000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6248;Divers;421;Centres de loisirs;011;Ch. à caract. gén.;500;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;64;Crèches et garderies;23;Travaux en cours;1472239;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;520;Services communs;011;Ch. à caract. gén.;14600;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6228;Divers;520;Services communs;011;Ch. à caract. gén.;7300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6236;Catalogues et imprimés;520;Services communs;011;Ch. à caract. gén.;15000;0
Pompes Funèbres;Dépense;Réel;Fonctionnement;M4x;011;Charges à caractère général;6226;Rémunérations d'intermédiaires et honoraires - Honoraires;6226;Rémunérations d'intermédiaires et honoraires - Honoraires;011;;2500;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6078;Autres marchandises;322;Musées;011;Ch. à caract. gén.;264498;0
Budget principal VT;Dépense;Réel;Investissement;M14V;204;Subventions d'équipement versées;20422;Subventions d'équipement versées aux personnes de droit privé - Bâtiments et installations;824;Autres opérations d'aménagement urbain;204;;782157;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;627;Services bancaires et assimilés;422;Autres activités pour les jeunes;011;Ch. à caract. gén.;700;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;70;Produits des services, du domaine et ventes diverses;7066;Redevances et droits des services à caractère social;421;Centres de loisirs;70;Prod. des services;696300;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6068;Autres matières et fournitures;510;Services communs;011;Ch. à caract. gén.;246045;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;6281;Concours divers (cotisations..);820;Services communs;011;Ch. à caract. gén.;13650;0
Budget principal VT;Recette;Réel;Fonctionnement;M14V;74;Dotations, subventions et participations;7478;Participations des autres organismes;322;Musées;74;Dotations, subv.;24625;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;012;Charges de personnel et frais assimilés;6331;Versement de transport;415;Manifestations sportives;012;Ch.de pers., frais ass.;313;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;011;Charges à caractère général;611;Contrats de prestations de services;33;Action culturelle;011;Ch. à caract. gén.;2075230;0
Budget principal VT;Recette;Ordre;Investissement;M14V;040;Opérations d'ordre de transfert entre sections;28041581;Amortissement des subventions d'équipement versées aux autres groupements de collectivités - Biens mobilers, matériel et études (O);01;Opération non ventilable;28;Amort. des immobilisations;19550;0
Théâtre Orchestre du Capitole;Dépense;Réel;Fonctionnement;M14;011;Charges à caractère général;60618;Autres fournitures non stockables;313;Théâtres;011;Ch. à caract. gén.;33100;0
Budget principal VT;Dépense;Réel;Investissement;M14V;23;Immobilisations en cours;2313;Constructions en cours;324;Entretien du partrimoine culturel;23;Travaux en cours;300000;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2184;Mobilier;824;Autres opérations d'aménagement urbain;21;Immob. corporelles;140000;0
Budget principal VT;Dépense;Réel;Fonctionnement;M14V;65;Autres charges de gestion courante;6574;Subventions de fonctionnement aux associations et autres personnes droit privé;311;Expression musicale, lyrique et chorégraphique;65;Autres ch d'activité;5800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2135;Installations générales, agencements, aménagements des constructions;40;Services communs;21;Immob. corporelles;528780;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2158;Autres installations, matériel et outillage technique;40;Services communs;21;Immob. corporelles;88800;0
Budget principal VT;Dépense;Réel;Investissement;M14V;21;Immobilisations corporelles;2128;Autres agencements et aménagements;412;Stades;21;Immob. corporelles;1698100;0
